text,label,prelabel,notes
I mean it’s fair to have criticism of the FO but at the same time thunder and mavs scored the exact same amount of points and we shot like shit on wide open/lightly contested 3’s for all but 1 and a half games. I feel like the FO knew that at some point our young core would have a deer in the headlights moment so why throw assets at a season that has a bit of a ticking time bomb attached. This is the youngest this team will ever be and likely the worst we will look in the play offs and we swept round 1 and played the mavs to a competitive 6 game series while not play our best that’s a good sea,breakdown,breakdown,
Ya and who did they beat up on? Please enlighten us on how super talented the league was back then? How super competitive and talented the eastern conference was? Fking nephew just arguing for the sake of arguing.,take,take,
The NFL playbook,reaction,reaction,
i think its gonna be consensus by around the third season that he’s the best in the league.,take,take,
yeah like i’m gonna spend my time watching the Sons,reaction,reaction,
Why would I find pictures in a dictionary,reaction,reaction,
"Very curious to see how the Clippers handle the KAT / Gobert matchups, and whether we’ll see the first 2-big rotation of the season. I’m guessing Mann on Edwards, Kawhi on KAT, PG on McDaniels, Harden on Conley, Zu on Gobert.",breakdown,breakdown,
Prozac is about to drop the bag.,reaction,reaction,
"It's funny thinking back, there was fan criticism that they weren't willing to spend into the luxury tax in past years, but Wyc's always been on record that they'd spend for a championship team. Looks like they're sticking with that for the next 2 or 3 years for this current window.",take,take,
Well i guess you are overdo for one lol. Also rn they dont have the best defense and your team is a great offense sooo...i expect at least 130 from both teams,take,take,
Wonder who will it it first between NBA and MLB. Don't follow baseball that close but we'd need another Ohtani which is hard to imagine.,reaction,reaction,
"[The Man’s Too Strong]( … honestly kind of the perfect Tobi song from Dire Straights catalog. I mean: “Now they say I am a war criminal And I'm fading away Father, please hear my confession … I have legalized robbery, called it belief I have run with the money I have a-hid like a thief”",reaction,reaction,
THE SPURS NEED 20 MORE NATIONALLY TELEVISED GAMES FOR THEIR LOSING STREAK!!!,reaction,reaction,
Has anyone been more obsessed with trying to find patterns that aren't there or historical references than Bill Simmons? He's like statmuse but for hot takes.,take,take,
"Continue to max an injured vet that is blatantly saying he doesn’t want a chip and would prefer a bag. Don’t get me wrong I love Pg, but if goals aren’t aligning then a change needs to happen or else neither party is happy. I got love for the dude. He gave us the best he could with what he and the org had. Don’t assume I’m trashing P because I want him gone. You gonna make an ass out of yourself for being so ignorant",take,take,
Bro is damn near 40 playing 100 minutes lol,reaction,reaction,
If the actions of Knicks fans have any bearing on the destiny of the actual team we are indeed fucked for a long time more.,reaction,reaction,
"Mitchell by default is second because Brunson hasn’t done it long enough and getting bounced in the 2nd round by the Pacers isn’t some great accomplishment As opposed to getting bounced by Brunson in the first round two years in a row? If you want to pick Mitchell that's fine, but this logic makes no sense lol. Especially considering Brunson didn't even get to finish the series against the Pacers.",breakdown,breakdown,
every title team is team first. but they also did it with superstars being superstars Jaylen chucked his way to 7/23 shooting and Celtics still won by 18,breakdown,breakdown,
Had to look this up to confirm it was real lol,reaction,reaction,
Haven’t even heard about a package for Bogdanovic. What is it?,reaction,reaction,
Doctors hate this one weird trick,reaction,reaction,
The media been trying to blow up the warriors for mad long. Lmao getting Steve Kerr to concur on draymond being wrong would be a nail in the coffin for the warriors.,take,take,
"You contradict yourself. You call DeRozan mid because he doesn't have a ring yet you think Lavine can win a ring lol. You understand basketball so much, I bet you can run up and down the court 3 times before getting gassed.",take,take,
This isn't new. They all want everyone to be washed or unfixable. We see it with Klay (who's been on fire lately yet everyone still says he's washed) and Ben Simmons. They all root for their failure.,take,take,
TJ McConnell is Jalen Brunson father,reaction,reaction,
both these teams deserve to be in the finals. Dallas seems a tier below to me. They're gonna all of a sudden go from a small team to guarding giants and are going to have to stop elite bigs in the paint. Celtics are far and above the best team from the east.,take,take,
Clip cut short. Pacers personnel takes the ball and Hield and Turner said don’t give it to him,reaction,reaction,
"I thought it was a ""Elbow above the rim"" sign in reference to Jokic's incredible hops.",reaction,reaction,
"That ref must hate him to call that. In the NBA, you see 50 worse screens per game that aren't called.",take,take,
Celtics haven’t beaten a fully healthy opponent either.,take,take,
You hear it both ways though. It's MJ had it easier from expansion or Lakers only competed against 22 other teams.,take,take,
"This is a pretty moronic take when you actually know the details, but you do you",reaction,reaction,
Imagine how nervous you’d be if you were 40 years old and had never seen a team win a championship in your state,reaction,reaction,
It says a lot when Draymond’s only defenders are people who seem to be the only ones who haven’t watched footage of Draymond’s incidents. It’s almost like watching the footage of his violence makes you realise he’s violent 🤯,take,take,
"I looked it up and they had a 76.9% winrate vs the East, and 86.7% (26-4) vs the West",breakdown,breakdown,
"Everyone saying no has never played before. Having an extra person is a humongous advantage, gives you so much versatility to do loads of things without the trade-offs traditionally associated with such decisions. And I think people are missing the point saying having six is a lack of space for the offense. It would be so easy to generate dunks with some half-decent screening and moving, which despite how bad the Wizards are, their players are capable of. And if they miss? They can crash the glass without worrying about giving up a fast break.",breakdown,breakdown,
Are they playing in the Olympics together? That would be fun to watch.,reaction,reaction,
The Catholic Church strategy,reaction,reaction,
Nah. But a forward that can defend and facilitate is a necessity. Im a mavs fan second. Lbj would fit in pretty dang well.,take,take,
There’s bench players in the nba today who are more skilled than all stars in the 80s. NBA progresses and changes over time and skill level will always progressively climb. You can’t compare skill levels of a 2020s player versus a player 40 years prior. Taking a random NBA player let’s say Sydney Moncrief woundve made every player from 40 years prior look like a child. Prime 90s Scottie Pippen would’ve wiped Jerry West or Oscar Robertsons ass all over the court. It doesn’t mean Pip is a greater player. Contributions and achievements during their era against their peers determines greatness. Ye,take,take,
It's not going up to 70. That's delusional thinking. It's also not the 65 game mark that's limiting load management. It's the fines that teams will be on the hook for.,breakdown,breakdown,
No he played against Spurs a few days ago,reaction,reaction,
You can look up any player in any season and their stats for summer league. Tshibwei did not play in the summer league tho,reaction,reaction,
Bros absolutely unhinged about JB finals MVP lmao,reaction,reaction,
"Yeah bro so much culture, I have to take a dirty train car to go see a basketball game that costs 8x what it does anywhere else its culture, I cant drive myself to anywhere that a human isnt 500 ft away from me, its culture bro please so much culture",reaction,reaction,
LOL Eubanks airballs a dunk and KD has to clean up the mess.,reaction,reaction,
I mean the math is right there lol yeah there is actually a very good chance he never achieves all NBA again. Embiid should be more worried about playoffs at this point in his career anyway.,take,take,
Bro it’s what I imagine a serial killer looks like when eyeing prey,reaction,reaction,
"That's be great to bring to the NBA. But I don't think it's the sliding foot that gets the call here. Look at his left shoulder and especially his left hip as it makes contact. That hip is 1) moving and 2) outside his shoulders. Both feet could be planted and that's a foul that can get called. It's a marginal foul, but definitely a foul.",breakdown,breakdown,
warriors haters are some serious weirdos man,reaction,reaction,
Jrue Holiday erasure,reaction,reaction,
"CP3's ranks in [EPM]( over the years are crazy. Top 3 for 10 consecutive years, including 6 times at number 1. 2006: 11 2007: 14 2008: 1 2009: 1 2019: 3 2011: 1 2012: 1 2013: 2 2014: 1 2015: 2 2016: 2 2017: 1 2018: 4 2019: 28 2020: 13 2021: 19 2022: 12 2023: 45 2024: 70",breakdown,breakdown,
"The proof is watching the series, you even got Mavs fans telling you this lol. Bad defense doesn’t mean whoever you’re guarding is gonna go off, that’s just a shitty way of looking if it’s a good defensive game or not lmao.",take,take,
veteran presence instead of 24 year olds. You can do the same,reaction,reaction,
Mr. Jordan was not incorrect.,reaction,reaction,
I'm almost there keep going,reaction,reaction,
"Jayson Tatum has 1.) never averaged as much Shai (or even 2023 Shai), has 2.) never been as efficient as Shai (or even 2023 Shai…(, 3.) has never been in the same realm in terms of impact metrics (… or 2023 Shai…) , and 4.) has played with another star …almost every single year of his career?",breakdown,breakdown,
YEAH FUCKING 2nd APRON THAT TEAM FOR THE NEXT 5 YEARS,reaction,reaction,
Trey was +32 (best on the team) and Jaxson was -28 (2nd worst) over that entire series. This was a bad decision. This was after he sat behind Garrett Temple who also had all time bad on/off effects. You also trying to draw this direct line between him being sat behind obviously inferior players and development which is dubious at best.,breakdown,breakdown,
This is actually insane.,reaction,reaction,
"Keep in mind I’m not necessarily saying that he’s top 10 but I would say he’s close. And I think the reason is the same as with Jokic, it’s not always counting stats that show his command of an offense. Hockey assists are real. Jokic is all world and one of all time greats because he does that PLUS he does everything else that helps his teams win.",take,take,"take vs breakdown: 'hockey assists' reasoning is conceptual, no verifiable evidence -> take"
Cameroonian warlord bodies white boy from suburban Delaware,reaction,reaction,
lol KD be on these tweets,reaction,reaction,
The audacity...,reaction,reaction,
And then sold the series that got Doc fired lol,reaction,reaction,
The Colin kaepernick stuff was big time institutional racism. Kaepernick got black balled from the entire nfl there’s no doubt. Kaep was at the very least back up caliber when he started protesting. And I’m talking like best back up in the league.,take,take,
"Right but then Stephen a has ripped the brad Stevens hire, he’s ripped the Steve nash hire, and he’s ripping lebron and JJ here. I mean point is he’s all over the place. He’s constantly contradicting himself.",take,take,
"It's def not, but look at bens contract as a negative",take,take,
"Do you?? When the Mavericks would come down the court, he would match up with the center. He would literally guard the center one on one. Not help. Not a switch. Individually matched up with the center. You are wrong. Everyone else is right.",breakdown,breakdown,
Pop is trying something new thats never been successful before. Ive been asking folks to show me and nobody has shown me proof of this. Only proof of Pops proven method using Vets to lead— is being used in more situations than just sports. Kawhi credited Winning culture with his development,take,take,
The disrespect to Jonathan Bender,reaction,reaction,
Only since like 2022. Maybe pre AD as well but he definitely was playing defense in 2020 and 2021.,take,take,
Needs more calcium. Josh Hart will breast feed him in the office season and heal him,reaction,reaction,
!remindme 3 months,reaction,reaction,
Go watch Jimmy highrollers new video. Honestly must watch for every basketball and honestly sports fan imo,reaction,reaction,
What's up with the pedophile that you posted about? Do you have proof?,reaction,reaction,
You’re talking about Ja right?,reaction,reaction,
I think all started when he literally played the villain as Kermit in the movie Hustle.,reaction,reaction,
Definitely his elbow,reaction,reaction,
He’s not really a flawed player / he’s got an amazing set of skills and great size. He’s just not motivated,take,take,
"brother their team averaged 40 points a game, billups is the hallmark of intangibles in basketball. elite shooter that year, staunch defender. in terms of the more tangible stuff, rip brought it on offense and ben on defense. if he wasn't that guy all season he definitely emerged as the top dawg in the playoffs",breakdown,breakdown,
2nd worst thing to happen to Dallas this week,reaction,reaction,
"It's the internet. Tone is hard to discern. But damn it, I hate having to put '/s' to tell people I'm being sarcastic. I felt like that one was pretty clear lol.",reaction,reaction,
"Is perkins actually saying something smart, and on point? This season has been insanity. It is funny how steve kerr is versed in political issues enough to voice his opinion, but didnt even watch the replay of one of his star players getting ejected. I don’t envy his position tho. Its gonna be a rough year for the warriors and he has to know big changes are comming.",take,take,
"Trajan better not even ask the Pels to talk to Detroit native, Willie Green.",reaction,reaction,
"Man, honestly? Knicks are cursed. I'm rooting for them now. They're the good guys. I'm gonna cheer for Raptors and Knicks next season",reaction,reaction,
Brad’s been saying this for years. Brad was saying this after we lost in the finals and everyone was saying we needed to upgrade our playmaking. He was saying this after the Heat series loss last year and signaling that we would start with just DWhite (post Smart trade) instead of looking to add an offensive upgrade as a starting guard that would need to be covered for on defense (like Dame). Worked out great that we ended up with Jrue obviously. Brad was visibly thrilled at Jrue’s posttrade media session,breakdown,breakdown,
"I think it's more interesting that Giannis took more FT's last night than Lebron has in the last 6 games combined. Plenty of those calls Giannis got were earned, so it's not about that. It's just insane how many fouls go uncalled for other players while Giannis gets every one. To be clear, because I know my flair will make people try to dunk on me, this is no way a sleight towards Giannis. It's just clear that the league says ""call them all for player X, Y, and Z but only call a third of the fouls for players A through W""",breakdown,breakdown,
They’re not going from on the brink vs 2 crippled teams to beating Boston multiple times,take,take,
"Better than what ESPN did. “They won’t keep shooting like this,” “The Knicks had such a great season. Hats off to them,” etc",reaction,reaction,
He was an okay high school player. He only got high school all American because of his dad and name tho. He wouldn’t of went to usc or a big school if he wasn’t brons son,take,take,
"I think you should check play-by-play. With how much you are pushing this angle, one would assume you have your facts straight.",reaction,reaction,
"Lmao why bother, you're just going to make up your own shit to argue against like you've been doing. You've been basically arguing over shit in your head putting words in my mouth so you could be mad, and then downvote everything I type like that means anything but it makes you feel better lol if you ever actually wanted to have a real conversation, maybe you should've had one instead of making up an argument Lol you don't even know what race baiting means",reaction,reaction,
"No, I’m just stating that the bench is better. That’s all",take,take,
"Because continuous wear and tear can make players more susceptible to injuries, even if that injury is not directly wear and tear related. And because this happens with every team Thibs coaches.",take,take,
Eubanks needs to learn Chinese,reaction,reaction,
Oh boy do I have the video for you.,reaction,reaction,
He will suck if he goes to Philly. Loser mentality has infected that team,take,take,
Okay you sound more sensitive,reaction,reaction,
Honestly didn't even get a chance at the start of the season. Just straight down to the G-league.,reaction,reaction,
"Lmao, let's have Haliburton be sad and mopey and not praise his teammates, all because they played who was in front of them.",reaction,reaction,
"""Charlotte too, ain't that right Kyle?""",reaction,reaction,
"Don't agree but, nonetheless, COYS",reaction,reaction,
"Knicks fans in tears, you actually lost the series 5-3 because the Pacers won game 1.",reaction,reaction,
[Extremely BasedGod voice] 🎼 Fuck Kevin Durant 🎶,reaction,reaction,
Are you slow? Do research before talking out of your ass.,reaction,reaction,
And it gets even crazier because he also averages 11.7 rebounds and 9.3 assists (only 2.8 turnovers) in 33 min. The best stat imo is his reliability. My guy has missed 1 game so far. Last season was the first time he played <70 games (69).,breakdown,breakdown,
"From 30th…. Yeah ? That’s absolutely a DPOY level impact, despite the fact that that’s a strawman to begin with. Let me guess, is Rudy Gobert also not an elite defender because he has some minor defensive deficiencies ?",breakdown,breakdown,
"Yep. Lebron and AD are intresting ones cause they are probably the best duo in the league. You could argue JT and JB, but id still say its those 2 as they are both more often than not in the top 10 for most guys. Yet the Lakers arent all that good due to the rest of the roster. They really did themselves in with that Russ trade.",take,take,
"I'd like to take this chance to apologize... TO ABSOLUTELY NOBODY, THE WORLD CHAMP DOES WHATEVER THE FOOK HE WANTS",reaction,reaction,
What was the intention disrespect though? The bucks had the actual game ball didn’t they?,reaction,reaction,
"Accountability for a Reddit comment, in which I already said I might be wrong in the original comment? Dude this is truly pathetic…",reaction,reaction,
Sure but you had the jays established as your lead offensive creators. Every situation is different. If Boston had one offensive creator I’m not sure Brad wouldn’t have sacrificed some defense. The clippers couldn’t trust kawhi to be healthy and needed playmaking so we got harden. Jrue might be a better player but in our situation he and George get swept by Dallas,breakdown,breakdown,
"Personally I would trade anyone except Wemby, Sochan and Vassell. Id rather add more picks than to include Jeremy and Devin. This may sound crazy for others but Im really high on these guys especially Sochan as I see him as the glue guy of this team in the future tbh.",take,take,
eubanks is terrible,take,take,
Bucks truthers are going insane after last night’s shenanigans,reaction,reaction,
Giannis top 5 all time??? Who tf said that after they won the title,reaction,reaction,
Is Jamal Murray going to be Michael Jordan or Jordan Poole tonight,reaction,reaction,
"Yeah and that's my point - SAS (i.e a self identified ""conservative"") was shitting on Kaepernick to such an extent TO defended like that Max for his take.",take,take,
Porn-addicted P,reaction,reaction,
nah i genuinely think it will be competitive especially with Hali looking back in form.,take,take,
"We definitely bring our guards down too low to help and people use that to excuse Reaves but Reaves noticeably goes further away from his man and recovers slower than anyone else on the team, meaning each of those 2 are his own problem. There's a reason why he in particular is involved in more of the open 3s.",breakdown,breakdown,
Hope y’all make it out of the play ins !,reaction,reaction,
NBA refs are so bad,reaction,reaction,
Is that supposed to impress me?,reaction,reaction,
That’s literally what he is saying,reaction,reaction,
Rare Kendrick Perkins W,reaction,reaction,
Knockoff Jerseys ?,reaction,reaction,
here we goooooooooo,reaction,reaction,
"""Some"", weird way to say here are the two turnovers that he had. I don't see anything strange with those passes. Like he is the guy with the highest percentage of triple-doubles missed by one figure. Of course, he cares about his stats, just not nearly as much as your average NBA star.",take,take,
Seems the people have decided for you,reaction,reaction,
jokic probably needs a better whistle but your last sentence is crazy lmao. you think the NBA has a conspiracy to prevent 2 time MVP Jokic from being even better because.....he's European?,take,take,
lmao magic acn barely even dribble with his off hand brah,take,take,
Accolades are. Jokic is a worse defender and is still considered the best player.,take,take,
Jalen knew what he was getting himself into Hopefully he isn’t head over heels in love with her,reaction,reaction,
His sample size in the regular season was not large enough to chain him to the bench lol,take,take,
Series will be fun as hell next year if we get to see both teams healthy,reaction,reaction,
Hurt? We are talking about the most injury riddled team potentially in NBA history. Hurt is the ultimate understatement.,take,take,
And if we couldn’t make him care then no team ever could,take,take,
ESPN is not really about Hot Takes ☠️,reaction,reaction,
Game was over. Should have benched him and saved him for game 8.,take,take,
And then lose in the finals?,reaction,reaction,
"And you can't stop a team from targeting the weakest defensive player every time down the court. Only if you have the perfect team composition to do so. A big reason the Celtics were able to target Luka so much is because you always have 5 guys on the floor that are both threats from 3 and can drive to the rim. Literally no other team has that. Having a single non-shooter or even someone who isn't a driving threat on the floor means the other team can have their big roam the pain and they also don't have to concede the switch so easily. If it was that easy to force the switch then LAC, OKC or ",breakdown,breakdown,
Because he's not. Love Howitzer but he's a roll player and a 3 and d guy who gets targeted when he's out there. He's improved for sure on that end but that d is still lower case for a reason,take,take,
"I feel like every time I have watched him for multple years he's limping at some point in the game, that's why I said that. The game you guys whooped our ass he came up limping too",take,take,
athletes have to stop engaging with him but its inevitable now that ESPN/ABC has even more control of the broadcast its just horrible,take,take,
Suns fans wtf happened to Royce? I remember y’all were pretty excited for him at first but dude stinks rn,take,take,
I think it comes down to who scores the most,take,take,
Aaron Nesmith is currently throwing knifes at a picture of Brad Stevens as we speak.,reaction,reaction,
Dude chose money and comfort for his whole career. He’s rich beyond his dreams but never did anything with his life outside of basketball where he’s considered an underachiever. He made his choices.,take,take,
You don't even have to be very good. Deshone Kizer was a pretty prolific hitter in baseball around toledo.,reaction,reaction,
"Thanasis was a lot better at that point in his career. He was drafted the year after Giannis, well before Giannis was a star.",take,take,
yeah I’ve always liked his style of play. So quick. He was good for the Lakers.,reaction,reaction,
Post full rosters stats from that season not from 2 years later. I guarantee it’s better than the roster Luka has last season,take,take,
You are technically correct. It's more like an efficiency rampage.,reaction,reaction,
Nba Twitter is the second worst place to talk hoops with BR being an easy first. Taking anything the people on there say seriously is mistake number one,take,take,
"I respect it tbh. If someone keeps raising the offer, there's only so long you can say no before it becomes really damn stupid to keep saying no. At least he was honest about it, and tbh you could see that he wasn't into it the whole season if you watched any Pistons games.",take,take,
it all depends on the context of the circumstances. do you blindly believe that the actual person with firsthand knowledge of what happened is always telling the truth?,take,take,
"He's black, which helps.",reaction,reaction,
Shy of 1 assist again smh,reaction,reaction,
"You’re good lol, it probably lists him as an FA on some sites because it’s an option, but yeah it’s a 2 mill team option they’ll prob pick up unless they want to extend him long term",breakdown,breakdown,
It makes me wonder…,reaction,reaction,
"i dunno. nba has one of the highest floors of any sport in terms of physical body build. unless you genetically blessed your not even allowed to try attempt a career in basketball. hell a lot of people think unless your a specific race your not allowed to try and theres a bit of truth to it. meaning the pool is small compared to other sports meaning people with less skill can get in over people with a lot of skill due to the body requirements i mean you see it all the time, players that are super underdeveloped skill wise, iq wise, etc. potential/raw/project etc is such a big thing in basketba",take,take,
"Can I just say, I’m so unbelievably excited to watch this game of basketball. I almost can’t contain myself.",reaction,reaction,
In all the years from assistant coach in Boston to Chicago to New York I’ve never seen Thibs smile once,reaction,reaction,
I mean Ja and brooks didn't make it hard to hate on them,reaction,reaction,
There is no way that even without Porzingis the Celtics should let this get to a Game 7.,take,take,
"My dad was born and raised in Rhode Island, might explain everything",reaction,reaction,
Next to a 1st team All-NBA player.,take,take,
"Brad was saying this after we lost in the finals when we were starting Smart and pre-3pt-improvement DWhite. It’s not a new mindset. And Brad was ready for us to start this year with just DWhite at guard versus some of the trade targets people were bringing up for us (like Dame). You don’t need it to win, just like you don’t need to play 5 out basketball to win it all. But either way, you’re getting rid of a core part of the Celtics’ identity and success. I imagine this Celtics team could more or less make it work with a defensive liability at guard. But I also think the ripple effects could b",breakdown,breakdown,
